rank,runnerName,score2,score1,score_raw,score_avg,eventName,race_L
1.0,大橋陽樹,-0.12967167536537355,-0.12967386290582328,-0.1296863767395166,-0.12963029362782516,15.0,157
2.0,岩井龍之介,-0.12962009307637354,-0.12963029362782516,-0.1296863767395166,-0.12963029362782516,0.0,135
3.0,森河俊成,-0.12960114401056455,-0.12963029362782516,-0.1296863767395166,-0.12963029362782516,0.0,120
4.0,小牧弘季,-0.129380098580778,-0.12967386290582328,-0.1296863767395166,-0.12963029362782516,15.0,87
5.0,北見匠,-0.12933595349968474,-0.12967386290582328,-0.1296863767395166,-0.12963029362782516,15.0,85
6.0,種市雅也,-0.12884783442607706,-0.12963029362782516,-0.1296863767395166,-0.12963029362782516,0.0,73
7.0,長岡凌生,-0.12809765397747405,-0.12967386290582328,-0.1296863767395166,-0.12963029362782516,15.0,63
8.0,桃井陽佑,-0.1150638632715714,-0.1150820993335289,-0.11509461316722225,-0.1150385300555308,15.0,125
9.0,椎名晃丈,-0.11502215591697176,-0.1150820993335289,-0.11509461316722225,-0.1150385300555308,15.0,108
10.0,石川創也,-0.11498643748204232,-0.1150385300555308,-0.11509461316722225,-0.1150385300555308,0.0,110
11.0,溝井翔太,-0.11488506045545756,-0.1150820993335289,-0.11509461316722225,-0.1150385300555308,15.0,91
12.0,大石洋輔,-0.11483901679269379,-0.1150820993335289,-0.11509461316722225,-0.1150385300555308,15.0,88
13.0,朝間玲羽,-0.11480248785584664,-0.1150820993335289,-0.11509461316722225,-0.1150385300555308,15.0,86
14.0,岩垣和也,-0.1146937101060662,-0.1150385300555308,-0.11509461316722225,-0.1150385300555308,0.0,83
15.0,伊藤光祐,-0.11433708678650326,-0.1150820993335289,-0.11509461316722225,-0.1150385300555308,15.0,72
15.0,清水嘉人,-0.11433708678650326,-0.1150820993335289,-0.11509461316722225,-0.1150385300555308,15.0,72
17.0,外石裕太郎,-0.11241304118207714,-0.1150385300555308,-0.11509461316722225,-0.1150385300555308,0.0,54
18.0,西浦裕,-0.11206092447753163,-0.1150820993335289,-0.11509461316722225,-0.1150385300555308,15.0,52
19.0,伊藤元春,-0.10807431802958234,-0.10814381041597539,-0.10815632424966873,-0.10810024113797728,15.0,105
20.0,江野弘太郎,-0.10795865099328386,-0.10814381041597539,-0.10815632424966873,-0.10810024113797728,15.0,91
21.0,羽田拓真,-0.1079153832986066,-0.10814381041597539,-0.10815632424966873,-0.10810024113797728,15.0,88
22.0,長谷川望,-0.10777094512721667,-0.10814381041597539,-0.10815632424966873,-0.10810024113797728,15.0,81
23.0,嶋崎渉,-0.10757632378105997,-0.10814381041597539,-0.10815632424966873,-0.10810024113797728,15.0,75
24.0,沖中陽幸,-0.10703515150787962,-0.10810024113797728,-0.10815632424966873,-0.10810024113797728,0.0,66
25.0,池田匠,-0.09237599873352803,-0.092534432415671,-0.09254694624936433,-0.09249086313767288,15.0,91
26.0,小寺義伸,-0.0922933024423343,-0.092534432415671,-0.09254694624936433,-0.09249086313767288,15.0,85
27.0,祖父江有祐,-0.09227581854652178,-0.092534432415671,-0.09254694624936433,-0.09249086313767288,15.0,84
28.0,櫻井一樹,-0.0922153861593011,-0.092534432415671,-0.09254694624936433,-0.09249086313767288,15.0,81
29.0,金子哲士,-0.0921674418663452,-0.092534432415671,-0.09254694624936433,-0.09249086313767288,15.0,79
30.0,山本哲也,-0.09212404538362826,-0.09249086313767288,-0.09254694624936433,-0.09249086313767288,0.0,79
