rank,runnerName,score2,score1,score_raw,score_avg,eventName,race_L
1.0,岩垣和也,-0.12050830613344708,-0.12050830620825954,-0.12050830426312341,-0.12050835198223445,16.0,106
2.0,三浦一将,-0.12050830538358855,-0.12050830620825954,-0.12050830426312341,-0.12050835198223445,16.0,94
3.0,石川創也,-0.10343041276675785,-0.10343041277544777,-0.10343041083031164,-0.10343045854942268,16.0,116
4.0,小林直登,-0.10342472316506611,-0.10343045854942268,-0.10343041083031164,-0.10343045854942268,0.0,49
5.0,住吉将英,-0.09120102915604626,-0.09120102928205258,-0.09120102733691644,-0.09120107505602748,16.0,102
6.0,棚橋一樹,-0.09120102877107178,-0.09120102928205258,-0.09120102733691644,-0.09120107505602748,16.0,95
7.0,米田将吾,-0.09101598880024568,-0.09120107505602748,-0.09120102733691644,-0.09120107505602748,0.0,31
7.0,岩本圭司,-0.09101598880024568,-0.09120107505602748,-0.09120102733691644,-0.09120107505602748,0.0,31
9.0,南吏玖,-0.08117578017714472,-0.08117578021840427,-0.08117577827326812,-0.08117582599237916,16.0,107
10.0,粟生啓介,-0.08117577870837733,-0.08117578021840427,-0.08117577827326812,-0.08117582599237916,16.0,89
11.0,三浦直起,-0.07885835173183643,-0.09120107505602748,-0.09120102733691644,-0.09120107505602748,0.0,10
12.0,川口真司,-0.06705637454673531,-0.06705637459758121,-0.06716064245514045,-0.06460268809098055,16.0,105
13.0,山本智士,-0.06666774229244664,-0.0666677424298591,-0.06716064245514045,-0.05506855770076985,16.0,100
14.0,櫻井千尋,-0.06459295032914517,-0.06460268809098055,-0.06716064245514045,-0.06460268809098055,0.0,44
15.0,吉川辰也,-0.06447158141658166,-0.06460268809098055,0.09693166041381779,-0.06460268809098055,0.0,31
16.0,河野駿介,-0.052867205376202236,-0.05340401375052668,-0.053253236796076714,-0.05340401375052668,0.0,23
17.0,金津怜央奈,-0.04713413187168812,-0.047212578274505416,-0.04346764879624079,-0.047212578274505416,0.0,32
18.0,藤井一樹,-0.04282758867828811,-0.04282758872673405,-0.04346764879624079,-0.027765355813102632,16.0,103
19.0,加藤翔伍,-0.0413176328286681,-0.04131766718549497,-0.04346764879624079,-0.04131766718549497,0.0,70
20.0,服部柾宏,-0.0401887147151489,-0.04131766718549497,-0.04346764879624079,-0.04131766718549497,0.0,18
21.0,澤入圭司,-0.027828435089196545,-0.027828606074061762,-0.031184508698257354,-0.027828606074061762,0.0,60
22.0,田中郁也,-0.0277611706556398,-0.027765355813102632,-0.0017368989457180847,-0.027765355813102632,0.0,44
23.0,細川敦司,-0.016849941996889373,-0.01685559641955914,-0.017191955632671774,-0.01685559641955914,0.0,40
24.0,谷平光一,-0.011166288522963282,-0.011166292695024529,-0.006609173900910758,-0.011166292695024529,0.0,74
25.0,森隆志,-0.00604950061273488,-0.0062194388331909016,-0.006609173900910758,-0.0062194388331909016,0.0,18
26.0,服部友貴,-0.0053777293171282225,-0.0062194388331909016,-0.006609173900910758,-0.0062194388331909016,0.0,10
27.0,小川誠人,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,久保田晴貴,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,坂野公紀,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,今和泉晶仁,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,大野孝紘,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,山崎順平,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,長村栞土,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,市川知幸,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,疋田雅裕,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,岡村琉聖,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,東源大,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
27.0,井土宙,0.07788833563307095,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,10
39.0,内藤駿,0.08761793432711892,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,18
39.0,尾初瀬大祐,0.08761793432711892,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,18
39.0,森琢人,0.08761793432711892,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,18
39.0,松本皐佑,0.08761793432711892,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,18
39.0,西山直希,0.08761793432711892,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,18
39.0,新家康佑,0.08761793432711892,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,18
45.0,山田雄大,0.08897330094604944,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,22
45.0,岸田航陽,0.08897330094604944,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,22
45.0,松永隼,0.08897330094604944,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,22
45.0,生田敦士,0.08897330094604944,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,22
45.0,山下祐輝,0.08897330094604944,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,22
45.0,虎走脩平,0.08897330094604944,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,22
45.0,高木悠甫,0.08897330094604944,0.090079234324054,0.09693166041381779,0.090079234324054,0.0,22
