,runnerName,eventName,rank
281518,出田涼子,第24回京大京女オリエンテーリング大会,2
281519,香取瑞穂,第24回京大京女オリエンテーリング大会,3
281620,和波明日香,第24回京大京女オリエンテーリング大会,6
282214,増澤すず,第6回農工大大会,
285634,宮本和奏,第6回農工大大会,2
285635,松田千果,第6回農工大大会,3
285637,阿部悠,第6回農工大大会,6
285638,高橋利奈,第6回農工大大会,8
285640,岩﨑佑美,第6回農工大大会,9
285641,進藤緑里,第6回農工大大会,10
285642,冨永万由,第6回農工大大会,11
285645,河野珠里亜,第6回農工大大会,
285646,渡邉裕子,第6回農工大大会,
285651,秋山美怜,第6回農工大大会,12
285981,古谷直央,第6回農工大大会,4
