difficulty,46.63,93.26,139.89,186.52,233.15,279.78,326.41,373.04,419.67,466.3
495.7,2,7,60,17,2,2,0,0,0,0
446.14,1,17,185,63,21,4,1,1,0,0
396.58,2,23,326,129,22,5,3,2,0,0
347.02,2,29,495,164,29,12,7,2,2,0
297.46,4,42,1045,449,82,30,10,9,3,2
247.9,11,94,2489,1145,199,57,20,18,3,6
198.34,17,157,3681,1436,309,112,31,31,15,10
148.78,25,466,8712,3866,723,235,71,83,39,15
99.22,53,519,14839,6295,1205,401,132,112,52,25
49.66,57,715,13230,5104,918,310,110,88,25,22
